Country,Indicator Name,2015-data
Afghanistan,Poverty gap at $1.90 a day (2011 PPP) (%),
Afghanistan,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),
Afghanistan,Income share held by lowest 20%,
Afghanistan,Income share held by lowest 10%,
Afghanistan,Proportion of people living below 50 percent of median income (%),
Afghanistan,Income share held by highest 10%,
Afghanistan,Income share held by highest 20%,
Afghanistan,Income share held by fourth 20%,
Afghanistan,Income share held by third 20%,
Afghanistan,Income share held by second 20%,
Afghanistan,Population living in slums (% of urban population),
Angola,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",
Angola,"Survey mean consumption or income per capita, total population (2011 PPP $ per day)",
Angola,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",
Angola,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)",
Angola,Poverty gap at $5.50 a day (2011 PPP) (%),
Angola,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),
Angola,Poverty headcount ratio at national poverty lines (% of population),
Angola,Multidimensional poverty index (scale 0-1),
Angola,"Multidimensional poverty headcount ratio, male (% of male population)",
Angola,Multidimensional poverty intensity (average share of deprivations experienced by the poor),
Angola,"Multidimensional poverty headcount ratio, household (% of total households)",
Angola,"Multidimensional poverty headcount ratio, female (% of female population)",
Angola,"Multidimensional poverty index, children (population ages 0-17) (scale 0-1)",
Angola,"Multidimensional poverty headcount ratio, children (% of population ages 0-17)",
Angola,Multidimensional poverty headcount ratio (% of total population),
Angola,Poverty gap at $3.20 a day (2011 PPP) (%),
Angola,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),
Angola,Gini index (World Bank estimate),
Angola,Poverty gap at $1.90 a day (2011 PPP) (%),
Angola,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),
Angola,Income share held by lowest 20%,
Angola,Income share held by lowest 10%,
Angola,Proportion of people living below 50 percent of median income (%),
Angola,Income share held by highest 10%,
Angola,Income share held by highest 20%,
Angola,Income share held by fourth 20%,
Angola,Income share held by third 20%,
Angola,Income share held by second 20%,
Angola,Population living in slums (% of urban population),
Albania,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",
Albania,"Survey mean consumption or income per capita, total population (2011 PPP $ per day)",
Albania,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",
Albania,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)",
Albania,Poverty gap at $5.50 a day (2011 PPP) (%),9.7
Albania,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),34.2
Albania,Poverty headcount ratio at national poverty lines (% of population),
Albania,Multidimensional poverty index (scale 0-1),
Albania,"Multidimensional poverty headcount ratio, male (% of male population)",
Albania,Multidimensional poverty intensity (average share of deprivations experienced by the poor),
Albania,"Multidimensional poverty headcount ratio, household (% of total households)",
Albania,"Multidimensional poverty headcount ratio, female (% of female population)",
Albania,"Multidimensional poverty index, children (population ages 0-17) (scale 0-1)",
Albania,"Multidimensional poverty headcount ratio, children (% of population ages 0-17)",
Albania,Multidimensional poverty headcount ratio (% of total population),
Albania,Poverty gap at $3.20 a day (2011 PPP) (%),1.7
Albania,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),8.2
Albania,Gini index (World Bank estimate),32.9
Albania,Poverty gap at $1.90 a day (2011 PPP) (%),0.1
Albania,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),1.1
Albania,Income share held by lowest 20%,7.7
Albania,Income share held by lowest 10%,3.1
Albania,Proportion of people living below 50 percent of median income (%),11.1
Albania,Income share held by highest 10%,24.9
Albania,Income share held by highest 20%,40.8
Albania,Income share held by fourth 20%,23
Albania,Income share held by third 20%,16.5
Albania,Income share held by second 20%,12.1
Albania,Population living in slums (% of urban population),
Andorra,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",
Andorra,"Survey mean consumption or income per capita, total population (2011 PPP $ per day)",
Andorra,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",
Andorra,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)",
Andorra,Poverty gap at $5.50 a day (2011 PPP) (%),
Andorra,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),
Andorra,Poverty headcount ratio at national poverty lines (% of population),
Andorra,Multidimensional poverty index (scale 0-1),
Andorra,"Multidimensional poverty headcount ratio, male (% of male population)",
Andorra,Multidimensional poverty intensity (average share of deprivations experienced by the poor),
Andorra,"Multidimensional poverty headcount ratio, household (% of total households)",
Andorra,"Multidimensional poverty headcount ratio, female (% of female population)",
Andorra,"Multidimensional poverty index, children (population ages 0-17) (scale 0-1)",
Andorra,"Multidimensional poverty headcount ratio, children (% of population ages 0-17)",
Andorra,Multidimensional poverty headcount ratio (% of total population),
Andorra,Poverty gap at $3.20 a day (2011 PPP) (%),
Andorra,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),
Andorra,Gini index (World Bank estimate),
Andorra,Poverty gap at $1.90 a day (2011 PPP) (%),
Andorra,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),
Andorra,Income share held by lowest 20%,
Andorra,Income share held by lowest 10%,
Andorra,Proportion of people living below 50 percent of median income (%),
Andorra,Income share held by highest 10%,
Andorra,Income share held by highest 20%,
Andorra,Income share held by fourth 20%,
Andorra,Income share held by third 20%,
Andorra,Income share held by second 20%,
Andorra,Population living in slums (% of urban population),
Arab World,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",
Arab World,"Survey mean consumption or income per capita, total population (2011 PPP $ per day)",
Arab World,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",
Arab World,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)",
Arab World,Poverty gap at $5.50 a day (2011 PPP) (%),
Arab World,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),
Arab World,Poverty headcount ratio at national poverty lines (% of population),
Arab World,Multidimensional poverty index (scale 0-1),
Arab World,"Multidimensional poverty headcount ratio, male (% of male population)",
Arab World,Multidimensional poverty intensity (average share of deprivations experienced by the poor),
Arab World,"Multidimensional poverty headcount ratio, household (% of total households)",
Arab World,"Multidimensional poverty headcount ratio, female (% of female population)",
Arab World,"Multidimensional poverty index, children (population ages 0-17) (scale 0-1)",
Arab World,"Multidimensional poverty headcount ratio, children (% of population ages 0-17)",
Arab World,Multidimensional poverty headcount ratio (% of total population),
Arab World,Poverty gap at $3.20 a day (2011 PPP) (%),
Arab World,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),
Arab World,Gini index (World Bank estimate),
Arab World,Poverty gap at $1.90 a day (2011 PPP) (%),
Arab World,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),
Arab World,Income share held by lowest 20%,
Arab World,Income share held by lowest 10%,
Arab World,Proportion of people living below 50 percent of median income (%),
Arab World,Income share held by highest 10%,
Arab World,Income share held by highest 20%,
Arab World,Income share held by fourth 20%,
Arab World,Income share held by third 20%,
Arab World,Income share held by second 20%,
Arab World,Population living in slums (% of urban population),
United Arab Emirates,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",
United Arab Emirates,"Survey mean consumption or income per capita, total population (2011 PPP $ per day)",
United Arab Emirates,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",
United Arab Emirates,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)",
United Arab Emirates,Poverty gap at $5.50 a day (2011 PPP) (%),
United Arab Emirates,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),
United Arab Emirates,Poverty headcount ratio at national poverty lines (% of population),
United Arab Emirates,Multidimensional poverty index (scale 0-1),
United Arab Emirates,"Multidimensional poverty headcount ratio, male (% of male population)",
United Arab Emirates,Multidimensional poverty intensity (average share of deprivations experienced by the poor),
United Arab Emirates,"Multidimensional poverty headcount ratio, household (% of total households)",
United Arab Emirates,"Multidimensional poverty headcount ratio, female (% of female population)",
United Arab Emirates,"Multidimensional poverty index, children (population ages 0-17) (scale 0-1)",
United Arab Emirates,"Multidimensional poverty headcount ratio, children (% of population ages 0-17)",
United Arab Emirates,Multidimensional poverty headcount ratio (% of total population),
United Arab Emirates,Poverty gap at $3.20 a day (2011 PPP) (%),
United Arab Emirates,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),
United Arab Emirates,Gini index (World Bank estimate),
United Arab Emirates,Poverty gap at $1.90 a day (2011 PPP) (%),
United Arab Emirates,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),
United Arab Emirates,Income share held by lowest 20%,
United Arab Emirates,Income share held by lowest 10%,
United Arab Emirates,Proportion of people living below 50 percent of median income (%),
United Arab Emirates,Income share held by highest 10%,
United Arab Emirates,Income share held by highest 20%,
United Arab Emirates,Income share held by fourth 20%,
United Arab Emirates,Income share held by third 20%,
United Arab Emirates,Income share held by second 20%,
United Arab Emirates,Population living in slums (% of urban population),
Argentina,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",
Argentina,"Survey mean consumption or income per capita, total population (2011 PPP $ per day)",
Argentina,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",
Argentina,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)",
Argentina,Poverty gap at $5.50 a day (2011 PPP) (%),
Argentina,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),
Argentina,Poverty headcount ratio at national poverty lines (% of population),
Argentina,Multidimensional poverty index (scale 0-1),
Argentina,"Multidimensional poverty headcount ratio, male (% of male population)",
Argentina,Multidimensional poverty intensity (average share of deprivations experienced by the poor),
Argentina,"Multidimensional poverty headcount ratio, household (% of total households)",
Argentina,"Multidimensional poverty headcount ratio, female (% of female population)",
Argentina,"Multidimensional poverty index, children (population ages 0-17) (scale 0-1)",
Argentina,"Multidimensional poverty headcount ratio, children (% of population ages 0-17)",
Argentina,Multidimensional poverty headcount ratio (% of total population),
Argentina,Poverty gap at $3.20 a day (2011 PPP) (%),
Argentina,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),
Argentina,Gini index (World Bank estimate),
Argentina,Poverty gap at $1.90 a day (2011 PPP) (%),
Argentina,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),
Argentina,Income share held by lowest 20%,
Argentina,Income share held by lowest 10%,
Argentina,Proportion of people living below 50 percent of median income (%),
Argentina,Income share held by highest 10%,
Argentina,Income share held by highest 20%,
Argentina,Income share held by fourth 20%,
Argentina,Income share held by third 20%,
Argentina,Income share held by second 20%,
Argentina,Population living in slums (% of urban population),
Armenia,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",
Armenia,"Survey mean consumption or income per capita, total population (2011 PPP $ per day)",
Armenia,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",
Armenia,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)",
Armenia,Poverty gap at $5.50 a day (2011 PPP) (%),11.6
Armenia,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),39.8
Armenia,Poverty headcount ratio at national poverty lines (% of population),29.8
Armenia,Multidimensional poverty index (scale 0-1),
Armenia,"Multidimensional poverty headcount ratio, male (% of male population)",
Armenia,Multidimensional poverty intensity (average share of deprivations experienced by the poor),
Armenia,"Multidimensional poverty headcount ratio, household (% of total households)",
Armenia,"Multidimensional poverty headcount ratio, female (% of female population)",
Armenia,"Multidimensional poverty index, children (population ages 0-17) (scale 0-1)",
Armenia,"Multidimensional poverty headcount ratio, children (% of population ages 0-17)",
Armenia,Multidimensional poverty headcount ratio (% of total population),29.1
Armenia,Poverty gap at $3.20 a day (2011 PPP) (%),2.1
Armenia,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),9.5
Armenia,Gini index (World Bank estimate),32.4
Armenia,Poverty gap at $1.90 a day (2011 PPP) (%),0.2
Armenia,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),1.3
Armenia,Income share held by lowest 20%,8.2
Armenia,Income share held by lowest 10%,3.4
Armenia,Proportion of people living below 50 percent of median income (%),8.8
Armenia,Income share held by highest 10%,26.7
Armenia,Income share held by highest 20%,40.7
Armenia,Income share held by fourth 20%,21.8
Armenia,Income share held by third 20%,16.7
Armenia,Income share held by second 20%,12.6
Armenia,Population living in slums (% of urban population),
American Samoa,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",
American Samoa,"Survey mean consumption or income per capita, total population (2011 PPP $ per day)",
American Samoa,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",
American Samoa,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)",
American Samoa,Poverty gap at $5.50 a day (2011 PPP) (%),
American Samoa,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),
American Samoa,Poverty headcount ratio at national poverty lines (% of population),
American Samoa,Multidimensional poverty index (scale 0-1),
American Samoa,"Multidimensional poverty headcount ratio, male (% of male population)",
American Samoa,Multidimensional poverty intensity (average share of deprivations experienced by the poor),
American Samoa,"Multidimensional poverty headcount ratio, household (% of total households)",
American Samoa,"Multidimensional poverty headcount ratio, female (% of female population)",
American Samoa,"Multidimensional poverty index, children (population ages 0-17) (scale 0-1)",
American Samoa,"Multidimensional poverty headcount ratio, children (% of population ages 0-17)",
American Samoa,Multidimensional poverty headcount ratio (% of total population),
American Samoa,Poverty gap at $3.20 a day (2011 PPP) (%),
American Samoa,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),
American Samoa,Gini index (World Bank estimate),
American Samoa,Poverty gap at $1.90 a day (2011 PPP) (%),
American Samoa,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),
American Samoa,Income share held by lowest 20%,
American Samoa,Income share held by lowest 10%,
American Samoa,Proportion of people living below 50 percent of median income (%),
American Samoa,Income share held by highest 10%,
American Samoa,Income share held by highest 20%,
American Samoa,Income share held by fourth 20%,
American Samoa,Income share held by third 20%,
American Samoa,Income share held by second 20%,
American Samoa,Population living in slums (% of urban population),
Antigua and Barbuda,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",
Antigua and Barbuda,"Survey mean consumption or income per capita, total population (2011 PPP $ per day)",
Antigua and Barbuda,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",
Antigua and Barbuda,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)",
Antigua and Barbuda,Poverty gap at $5.50 a day (2011 PPP) (%),
Antigua and Barbuda,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),
Antigua and Barbuda,Poverty headcount ratio at national poverty lines (% of population),
Antigua and Barbuda,Multidimensional poverty index (scale 0-1),
Antigua and Barbuda,"Multidimensional poverty headcount ratio, male (% of male population)",
Antigua and Barbuda,Multidimensional poverty intensity (average share of deprivations experienced by the poor),
Antigua and Barbuda,"Multidimensional poverty headcount ratio, household (% of total households)",
Antigua and Barbuda,"Multidimensional poverty headcount ratio, female (% of female population)",
Antigua and Barbuda,"Multidimensional poverty index, children (population ages 0-17) (scale 0-1)",
Antigua and Barbuda,"Multidimensional poverty headcount ratio, children (% of population ages 0-17)",
Antigua and Barbuda,Multidimensional poverty headcount ratio (% of total population),
Antigua and Barbuda,Poverty gap at $3.20 a day (2011 PPP) (%),
Antigua and Barbuda,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),
Antigua and Barbuda,Gini index (World Bank estimate),
Antigua and Barbuda,Poverty gap at $1.90 a day (2011 PPP) (%),
Antigua and Barbuda,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),
Antigua and Barbuda,Income share held by lowest 20%,
Antigua and Barbuda,Income share held by lowest 10%,
Antigua and Barbuda,Proportion of people living below 50 percent of median income (%),
Antigua and Barbuda,Income share held by highest 10%,
Antigua and Barbuda,Income share held by highest 20%,
Antigua and Barbuda,Income share held by fourth 20%,
Antigua and Barbuda,Income share held by third 20%,
Antigua and Barbuda,Income share held by second 20%,
Antigua and Barbuda,Population living in slums (% of urban population),
Australia,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",
Australia,"Survey mean consumption or income per capita, total population (2011 PPP $ per day)",
Australia,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",
Australia,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)",
Australia,Poverty gap at $5.50 a day (2011 PPP) (%),
Australia,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),
Australia,Poverty headcount ratio at national poverty lines (% of population),
Australia,Multidimensional poverty index (scale 0-1),
Australia,"Multidimensional poverty headcount ratio, male (% of male population)",
Australia,Multidimensional poverty intensity (average share of deprivations experienced by the poor),
Australia,"Multidimensional poverty headcount ratio, household (% of total households)",
Australia,"Multidimensional poverty headcount ratio, female (% of female population)",
Australia,"Multidimensional poverty index, children (population ages 0-17) (scale 0-1)",
Australia,"Multidimensional poverty headcount ratio, children (% of population ages 0-17)",
Australia,Multidimensional poverty headcount ratio (% of total population),
Australia,Poverty gap at $3.20 a day (2011 PPP) (%),
Australia,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),
Australia,Gini index (World Bank estimate),
Australia,Poverty gap at $1.90 a day (2011 PPP) (%),
Australia,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),
Australia,Income share held by lowest 20%,
Australia,Income share held by lowest 10%,
Australia,Proportion of people living below 50 percent of median income (%),
Australia,Income share held by highest 10%,
Australia,Income share held by highest 20%,
Australia,Income share held by fourth 20%,
Australia,Income share held by third 20%,
Australia,Income share held by second 20%,
Australia,Population living in slums (% of urban population),
Austria,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",
Austria,"Survey mean consumption or income per capita, total population (2011 PPP $ per day)",
Austria,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",
Austria,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)",
Austria,Poverty gap at $5.50 a day (2011 PPP) (%),0.7
Austria,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),0.9
Austria,Poverty headcount ratio at national poverty lines (% of population),14.1
Austria,Multidimensional poverty index (scale 0-1),
Austria,"Multidimensional poverty headcount ratio, male (% of male population)",17.5
Austria,Multidimensional poverty intensity (average share of deprivations experienced by the poor),
Austria,"Multidimensional poverty headcount ratio, household (% of total households)",
Austria,"Multidimensional poverty headcount ratio, female (% of female population)",19.1
Austria,"Multidimensional poverty index, children (population ages 0-17) (scale 0-1)",
Austria,"Multidimensional poverty headcount ratio, children (% of population ages 0-17)",22.3
Austria,Multidimensional poverty headcount ratio (% of total population),18.3
Austria,Poverty gap at $3.20 a day (2011 PPP) (%),0.6
Austria,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),0.7
Austria,Gini index (World Bank estimate),30.5
Austria,Poverty gap at $1.90 a day (2011 PPP) (%),0.6
Austria,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0.7
Austria,Income share held by lowest 20%,7.9
Austria,Income share held by lowest 10%,3
Austria,Proportion of people living below 50 percent of median income (%),11.3
Austria,Income share held by highest 10%,23.8
Austria,Income share held by highest 20%,38.4
Austria,Income share held by fourth 20%,22.9
Austria,Income share held by third 20%,17.6
Austria,Income share held by second 20%,13.2
Austria,Population living in slums (% of urban population),
Azerbaijan,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",
Azerbaijan,"Survey mean consumption or income per capita, total population (2011 PPP $ per day)",
Azerbaijan,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",
Azerbaijan,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)",
Azerbaijan,Poverty gap at $5.50 a day (2011 PPP) (%),
Azerbaijan,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),
Azerbaijan,Poverty headcount ratio at national poverty lines (% of population),
Azerbaijan,Multidimensional poverty index (scale 0-1),
Azerbaijan,"Multidimensional poverty headcount ratio, male (% of male population)",
Azerbaijan,Multidimensional poverty intensity (average share of deprivations experienced by the poor),
Azerbaijan,"Multidimensional poverty headcount ratio, household (% of total households)",
Azerbaijan,"Multidimensional poverty headcount ratio, female (% of female population)",
Azerbaijan,"Multidimensional poverty index, children (population ages 0-17) (scale 0-1)",
Azerbaijan,"Multidimensional poverty headcount ratio, children (% of population ages 0-17)",
Azerbaijan,Multidimensional poverty headcount ratio (% of total population),
Azerbaijan,Poverty gap at $3.20 a day (2011 PPP) (%),
Azerbaijan,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),
Azerbaijan,Gini index (World Bank estimate),
Azerbaijan,Poverty gap at $1.90 a day (2011 PPP) (%),
Azerbaijan,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),
Azerbaijan,Income share held by lowest 20%,
Azerbaijan,Income share held by lowest 10%,
Azerbaijan,Proportion of people living below 50 percent of median income (%),
Azerbaijan,Income share held by highest 10%,
Azerbaijan,Income share held by highest 20%,
Azerbaijan,Income share held by fourth 20%,
Azerbaijan,Income share held by third 20%,
Azerbaijan,Income share held by second 20%,
Azerbaijan,Population living in slums (% of urban population),
Burundi,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",
Burundi,"Survey mean consumption or income per capita, total population (2011 PPP $ per day)",
Burundi,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",
Burundi,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)",
Burundi,Poverty gap at $5.50 a day (2011 PPP) (%),
Burundi,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),
Burundi,Poverty headcount ratio at national poverty lines (% of population),
Burundi,Multidimensional poverty index (scale 0-1),
Burundi,"Multidimensional poverty headcount ratio, male (% of male population)",
Burundi,Multidimensional poverty intensity (average share of deprivations experienced by the poor),
Burundi,"Multidimensional poverty headcount ratio, household (% of total households)",
Burundi,"Multidimensional poverty headcount ratio, female (% of female population)",
Burundi,"Multidimensional poverty index, children (population ages 0-17) (scale 0-1)",
Burundi,"Multidimensional poverty headcount ratio, children (% of population ages 0-17)",
Burundi,Multidimensional poverty headcount ratio (% of total population),
Burundi,Poverty gap at $3.20 a day (2011 PPP) (%),
Burundi,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),
Burundi,Gini index (World Bank estimate),
Burundi,Poverty gap at $1.90 a day (2011 PPP) (%),
Burundi,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),
Burundi,Income share held by lowest 20%,
Burundi,Income share held by lowest 10%,
Burundi,Proportion of people living below 50 percent of median income (%),
Burundi,Income share held by highest 10%,
Burundi,Income share held by highest 20%,
Burundi,Income share held by fourth 20%,
Burundi,Income share held by third 20%,
Burundi,Income share held by second 20%,
Burundi,Population living in slums (% of urban population),
Belgium,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",
Belgium,"Survey mean consumption or income per capita, total population (2011 PPP $ per day)",
Belgium,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",
Belgium,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)",
Belgium,Poverty gap at $5.50 a day (2011 PPP) (%),0.1
Belgium,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),0.2
Belgium,Poverty headcount ratio at national poverty lines (% of population),15.5
Belgium,Multidimensional poverty index (scale 0-1),
Belgium,"Multidimensional poverty headcount ratio, male (% of male population)",20
Belgium,Multidimensional poverty intensity (average share of deprivations experienced by the poor),
Belgium,"Multidimensional poverty headcount ratio, household (% of total households)",
Belgium,"Multidimensional poverty headcount ratio, female (% of female population)",22.2
Belgium,"Multidimensional poverty index, children (population ages 0-17) (scale 0-1)",
Belgium,"Multidimensional poverty headcount ratio, children (% of population ages 0-17)",23.3
Belgium,Multidimensional poverty headcount ratio (% of total population),21.1
Belgium,Poverty gap at $3.20 a day (2011 PPP) (%),0.1
Belgium,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),0.2
Belgium,Gini index (World Bank estimate),27.7
Belgium,Poverty gap at $1.90 a day (2011 PPP) (%),0.1
Belgium,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0.1
Belgium,Income share held by lowest 20%,8.6
Belgium,Income share held by lowest 10%,3.4
Belgium,Proportion of people living below 50 percent of median income (%),10.5
Belgium,Income share held by highest 10%,22.2
Belgium,Income share held by highest 20%,36.5
Belgium,Income share held by fourth 20%,22.7
Belgium,Income share held by third 20%,18.1
Belgium,Income share held by second 20%,14
Belgium,Population living in slums (% of urban population),
Benin,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",0.06
Benin,"Survey mean consumption or income per capita, total population (2011 PPP $ per day)",2.71
Benin,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-5.2
Benin,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)",0.87
Benin,Poverty gap at $5.50 a day (2011 PPP) (%),59.3
